subject_version_code,main_competence_name,specific_competence_name,learning_activity_name,sla_name,sla_periods,sla_method,sla_leading,sla_assessment_criteria,sla_teaching_aids,sla_references,sla_notes_intro,sla_notes_details,sla_notes_illustrations,sla_notes_daily_life,sla_exercise,sla_diagram_type
2023-JSS001-DRS VI,Kumudu misingi ya awali ya kihisabati (vi),Kuonesha uelewa wa stadi za awali za maumbo (vi),"Kutafuta eneo na ujazo wa maumbo ya ukumbi (mche mstatili, mche mraba na mche duara)","Kutumia michoro ya vitu kutafuta eneo na ujazo wa maumbo ya ukumbi (mche mstatili, mche mraba na mche duara)",34,Michoro ya vitu,Kuwaongoza Wanafunzi,"Eneo na ujazo wa maumbo ya ukumbi (mche mstatili, mche mraba na mche duara) vimetafutwa kwa usahihi",Maumbo mbalimbali ya ukumbi (halisi na picha)|Rula|Kadi za manila zenye michoro ya vitu|Kalamu rashasha|Programu za mtandaoni zinazohusu kutafuta eneo na ujazo wa maumbo ya ukumbi,"TET(2023), HISABATI, KITABU CHA MWANAFUNZI, DARASA LA SITA, TET, DAR ES SALAAM","Maumbo ya ukumbi ni maumbo yenye pande tatu (urefu, upana na kina/kimo), tofauti na maumbo bapa yenye pande mbili tu. Mche mstatili (cuboid), mche mraba (cube) na mche duara (silinda) ni mifano ya maumbo ya ukumbi yanayopatikana katika vitu vya kila siku kama sanduku, dadu na debe.",Eneo la nyuso za umbo la ukumbi ni jumla ya maeneo ya nyuso zote za nje. Kwa mche mstatili: Eneo = 2(urefu×upana + urefu×kimo + upana×kimo). Kwa mche mraba wenye upande L: Eneo = 6 × L². Ujazo (volume) ni nafasi iliyomo ndani ya umbo: Ujazo wa mche mstatili = urefu × upana × kimo; Ujazo wa mche mraba = L × L × L = L³; Ujazo wa mche duara (silinda) = eneo la duara la msingi × kimo = πr² × h.,"Mfano: Sanduku (mche mstatili) lenye urefu sm 10, upana sm 5 na kimo sm 4 lina ujazo wa 10×5×4 = sm³ 200. Dadu (mche mraba) lenye upande sm 3 lina ujazo wa 3×3×3 = sm³ 27 na eneo la 6×3² = sm² 54.","Hesabu za eneo na ujazo hutumika kujenga matangi ya maji (mche duara), kutengeneza masanduku ya kuhifadhia bidhaa dukani, kukadiria kiasi cha zege kinachohitajika kujenga msingi wa nyumba, na kupima uwezo wa vyombo vya kuhifadhi nafaka.","Tafuta ujazo wa mche mstatili wenye urefu sm 8, upana sm 5 na kimo sm 6.::Ujazo = urefu × upana × kimo = 8 × 5 × 6 = sentimita za ujazo 240||Tafuta eneo la nyuso zote za dadu (mche mraba) lenye upande sm 4.::Eneo = 6 × L² = 6 × 4² = 6 × 16 = sentimita za mraba 96||Silinda ina eneo la msingi la sentimita za mraba 20 na kimo cha sentimita 10. Tafuta ujazo wake.::Ujazo = eneo la msingi × kimo = 20 × 10 = sentimita za ujazo 200",
2023-JSS001-DRS VI,Kumudu misingi ya awali ya kihisabati (vi),Kuonesha uelewa wa stadi za awali za maumbo (vi),"Kutafuta nyuzi katika maumbo bapa (pembetatu, mstatili na duara)","Kutumia michoro ya vitu kutafuta nyuzi (kipimo cha pembe) katika maumbo bapa (pembetatu, mstatili na duara)",34,Michoro ya vitu,Kuwaongoza Wanafunzi,"Nyuzi za pembe katika maumbo bapa (pembetatu, mstatili na duara) zimetafutwa kwa usahihi",Kipimo cha nyuzi (protractor)|Kadi za manila zenye michoro ya vitu|Programu za mtandaoni zinazohusiana na kutafuta nyuzi katika maumbo bapa,"TET(2023), HISABATI, KITABU CHA MWANAFUNZI, DARASA LA SITA, TET, DAR ES SALAAM","Nyuzi ni kipimo cha ukubwa wa pembe, huandikwa kwa alama ya nyuzi joto (°) na hupimwa kwa kutumia kifaa kiitwacho kipimo cha nyuzi (protractor). Kila umbo bapa lina pembe zenye kiasi maalum cha nyuzi kinachotegemea aina ya umbo.","Katika pembetatu yoyote, jumla ya nyuzi za pembe zote tatu ni nyuzi 180. Katika mstatili (na mraba), kila pembe ni ya nyuzi 90 na jumla ya pembe nne ni nyuzi 360. Kuzunguka mzunguko mzima wa duara (sehemu ya kati ya duara) ni nyuzi 360. Kipimo cha nyuzi (protractor) huwekwa katikati ya pembe kisha husomwa kiasi cha nyuzi kutoka mstari mmoja wa pembe hadi mwingine.","Mfano: Pembetatu ina pembe mbili zenye nyuzi 60 kila moja, pembe ya tatu ni 180 - (60+60) = nyuzi 60 (pembetatu sawaupande). Mstatili una pembe nne, kila moja nyuzi 90, jumla 4×90 = nyuzi 360.","Vipimo vya nyuzi hutumika kwa maseremala kutengeneza pembe sahihi za milango na madirisha, wajenzi kuhakikisha kuta zinasimama wima (pembe za nyuzi 90), na katika michoro ya ramani za majengo.","Pembetatu ina pembe mbili zinazojulikana: nyuzi 50 na nyuzi 70. Tafuta nyuzi za pembe ya tatu.::Jumla ya pembe za pembetatu ni nyuzi 180, hivyo pembe ya tatu = 180 - (50+70) = nyuzi 60||Mstatili una pembe nne. Kila pembe ni nyuzi ngapi na jumla yake ni ngapi?::Kila pembe ya mstatili ni nyuzi 90, jumla ya pembe nne = 4 × 90 = nyuzi 360||Ni nyuzi ngapi zinazopatikana ukizunguka kutoka katikati ya duara mzunguko mzima?::Mzunguko mzima kuzunguka kituo cha duara ni nyuzi 360",
2023-JSS001-DRS VI,Kumudu misingi ya awali ya kihisabati (vi),Kuonesha uelewa wa stadi za awali za maumbo (vi),Kueleza aina za pembetatu na kanuni ya Pythagoras,Kutumia michoro ya vitu kueleza aina za pembetatu na kanuni ya Pythagoras,34,Michoro ya vitu,Kuwaongoza Wanafunzi,Aina za pembetatu na kanuni ya Pythagoras zimeelezwa kwa usahihi,Michoro ya aina za pembetatu na kanuni ya Pythagoras|Kadi za manila|Kalamu rashasha|Programu za mtandaoni zinazohusiana na kueleza aina za pembetatu na kanuni ya Pythagoras,"TET(2023), HISABATI, KITABU CHA MWANAFUNZI, DARASA LA SITA, TET, DAR ES SALAAM","Pembetatu ni umbo bapa lenye pande tatu na pembe tatu, nazo hugawanywa katika aina mbalimbali kutokana na urefu wa pande au ukubwa wa pembe zake. Kanuni ya Pythagoras ni uhusiano maalum unaopatikana kwenye pembetatu yenye pembe moja ya nyuzi 90 (pembetatu ya kona kali).","Kwa kutumia urefu wa pande: pembetatu mraba-pande (equilateral) ina pande zote tatu sawa; pembetatu sawaupande mbili (isosceles) ina pande mbili sawa; pembetatu tofauti pande (scalene) ina pande zote tofauti. Kwa kutumia pembe: pembetatu ya kona kali ina pembe moja ya nyuzi 90; pembetatu butu ina pembe moja kubwa kuliko nyuzi 90; pembetatu kali ina pembe zote chini ya nyuzi 90. Kanuni ya Pythagoras inasema: katika pembetatu ya kona kali, mraba wa ubavu mrefu (hypotenuse) ni sawa na jumla ya mraba za ubavu wengine wawili: c² = a² + b².","Mfano: pembetatu ya kona kali yenye ubavu a=sm 3 na b=sm 4, ubavu mrefu c hupatikana kwa c² = 3² + 4² = 9+16 = 25, hivyo c = √25 = sm 5 (mfumo maarufu 3-4-5).","Kanuni ya Pythagoras hutumiwa na wajenzi kuhakikisha pembe za msingi wa nyumba ni za nyuzi 90 kwa kutumia vipimo 3-4-5, na fundi useremala kutengeneza ngazi na mabango yenye pembe sahihi.","Pembetatu ina pande zenye urefu sm 5, sm 5 na sm 5. Ni aina gani ya pembetatu kwa kuzingatia pande?::Ni pembetatu mraba-pande (equilateral) kwa sababu pande zote tatu ni sawa (sm 5 kila moja)||Pembetatu ya kona kali ina ubavu a = sm 6 na b = sm 8. Tafuta urefu wa ubavu mrefu (hypotenuse) c.::Kwa kanuni ya Pythagoras: c² = a²+b² = 6²+8² = 36+64 = 100, hivyo c = √100 = sm 10||Pembetatu yenye pembe za nyuzi 90, 45 na 45 ina pande mbili sawa. Ni aina gani ya pembetatu?::Ni pembetatu sawaupande mbili (isosceles) yenye pembe moja ya kona kali (nyuzi 90)",
2023-JSS001-DRS VI,Kumudu misingi ya awali ya kihisabati (vi),Kuonesha uelewa wa stadi za awali za namba (vi),Kutafuta kipeo cha pili cha namba,Kufanya majadiliano ya vikundi kutafuta kipeo cha pili cha namba,13,Majadiliano ya vikundi,Kuwaongoza Wanafunzi,Kipeo cha pili cha namba kimetafutwa kwa usahihi,Chati ya namba na alama za kipeo cha pili cha namba|Programu za mtandaoni zinazohusiana na kutafuta kipeo cha pili cha namba,"TET(2023), HISABATI, KITABU CHA MWANAFUNZI, DARASA LA SITA, TET, DAR ES SALAAM","Kipeo cha pili cha namba (namba ya mraba) ni matokeo ya kuzidisha namba kwa nafsi yake mara moja. Huandikwa kwa kutumia alama ndogo ya ""2"" juu ya namba, mfano 5² husomwa ""tano kipeo cha pili"" au ""tano mraba"".","Kanuni ni: n² = n × n. Mfano 4² = 4 × 4 = 16. Namba zinazotokana na kupiga mraba namba kamili huitwa namba za mraba kamili (perfect squares), mfano 1, 4, 9, 16, 25, 36. Ili kupata kipeo cha pili haraka, mwanafunzi anaweza kutumia jedwali la kuzidisha au chati ya namba za mraba.","Mfano: 6² = 6×6 = 36. 10² = 10×10 = 100. 12² = 12×12 = 144. Mfululizo wa namba za mraba: 1²=1, 2²=4, 3²=9, 4²=16, 5²=25.","Kipeo cha pili hutumika kukokotoa eneo la vitu vya mraba kama uwanja wa mraba au kadi ya mraba, na katika hesabu za ujenzi wakati wa kupima maeneo ya viwanja vyenye umbo la mraba.",Tafuta kipeo cha pili cha namba 7.::7² = 7 × 7 = 49||Tafuta kipeo cha pili cha namba 12.::12² = 12 × 12 = 144||Uwanja wa mraba una upande wa mita 9. Tafuta eneo lake kwa kutumia kipeo cha pili.::Eneo = 9² = 9 × 9 = mita za mraba 81,
2023-JSS001-DRS VI,Kumudu misingi ya awali ya kihisabati (vi),Kuonesha uelewa wa stadi za awali za namba (vi),Kutafuta kipeuo cha pili cha namba,Kufanya majadiliano ya vikundi kutafuta kipeuo cha pili cha namba,13,Majadiliano ya vikundi,Kuwaongoza Wanafunzi,Kipeuo cha pili cha namba kimetafutwa kwa usahihi,Chati ya namba na alama za kipeuo cha pili cha namba|Programu za mtandaoni zinazohusiana na kutafuta kipeuo cha pili cha namba,"TET(2023), HISABATI, KITABU CHA MWANAFUNZI, DARASA LA SITA, TET, DAR ES SALAAM","Kipeuo cha pili cha namba (mzizi wa mraba) ni namba ambayo ikizidishwa na nafsi yake hutoa namba husika. Huandikwa kwa alama ya ""√"", mfano √16 husomwa ""kipeuo cha pili cha kumi na sita"".","Kipeuo cha pili ni kitendo kinyume cha kipeo cha pili. Kama n² = a, basi √a = n. Mfano kwa kuwa 5² = 25, basi √25 = 5. Kutafuta kipeuo cha pili cha namba kubwa hufanywa kwa kutumia jedwali la namba za mraba kwa kubashiri na kuthibitisha, au kwa kuvunja namba katika viambaji vyake vya kwanza (prime factorization).",Mfano: √9 = 3 kwa sababu 3×3=9. √49 = 7 kwa sababu 7×7=49. √121 = 11 kwa sababu 11×11=121.,"Kipeuo cha pili hutumika kukokotoa urefu wa upande wa kiwanja cha mraba ikiwa eneo lake linajulikana, na katika hesabu za ujenzi kubaini vipimo vya vitu vyenye umbo la mraba kutokana na eneo lao.",Tafuta kipeuo cha pili cha namba 64.::√64 = 8 kwa sababu 8 × 8 = 64||Tafuta kipeuo cha pili cha namba 100.::√100 = 10 kwa sababu 10 × 10 = 100||Kiwanja cha mraba kina eneo la mita za mraba 36. Tafuta urefu wa upande wake.::Upande = √36 = mita 6 kwa sababu 6 × 6 = 36,
2023-JSS001-DRS VI,Kumudu misingi ya awali ya kihisabati (vi),Kuonesha uelewa wa stadi za awali za namba (vi),Kufafanua dhana ya namba kamili,Kutumia mifano halisi kufafanua dhana ya namba kamili,13,Mifano halisi,Kuwaongoza Wanafunzi,Dhana ya namba kamili imefafanuliwa kwa usahihi,Karatasi za rangi|Vibao vya rangi|Pesa|Vitabu|Kalamu|Vihesabio,"TET(2023), HISABATI, KITABU CHA MWANAFUNZI, DARASA LA SITA, TET, DAR ES SALAAM","Namba kamili ni namba zinazojumuisha namba chanya, namba hasi na sifuri, bila sehemu za desimali au mchanganyiko. Mfano: ...-3, -2, -1, 0, 1, 2, 3... Namba chanya huwakilisha ongezeko au faida, namba hasi huwakilisha upungufu au deni.","Namba kamili huonekana kwenye mstari wa namba (number line) ambapo sifuri iko katikati, namba chanya ziko upande wa kulia na namba hasi ziko upande wa kushoto. Kadiri namba inavyokuwa mbali na sifuri upande wa kulia, ndivyo inavyokuwa kubwa zaidi; kadiri namba hasi inavyokuwa mbali na sifuri, ndivyo inavyokuwa ndogo zaidi.","Mfano: joto la nyuzi -5 ni baridi zaidi kuliko nyuzi -2. Kwenye mstari wa namba: -5, -4, -3, -2, -1, 0, 1, 2, 3, 4, 5 - namba -3 iko upande wa kushoto wa 0 wakati 3 iko upande wa kulia wa 0.","Namba kamili hutumika kuonesha joto chini ya sifuri (baridi kali), kina cha bahari chini ya usawa wa bahari, deni na akiba benki (namba hasi kama deni, chanya kama akiba), na ghorofa za jengo chini ya usawa wa ardhi (basement).","Panga namba hizi kwa mpangilio kuanzia ndogo hadi kubwa: -3, 5, 0, -7, 2.::Mpangilio sahihi: -7, -3, 0, 2, 5 (namba hasi kubwa zaidi kiukubwa ndiyo ndogo zaidi kwenye thamani)||Ni namba gani kati ya -8 na -3 iliyo kubwa zaidi?::-3 ni kubwa zaidi kuliko -8 kwa sababu -3 iko karibu zaidi na sifuri kwenye mstari wa namba||Joto la asubuhi lilikuwa nyuzi -4 na joto la mchana likawa nyuzi 6. Ni tofauti gani ya joto kati ya nyakati hizo mbili?::Tofauti = 6 - (-4) = 6 + 4 = nyuzi 10",
2023-JSS001-DRS VI,Kumudu misingi ya awali ya kihisabati (vi),Kuonesha uelewa wa stadi za awali za namba (vi),Kufanya matendo katika namba kamili,Kutumia michezo ya ujifunzaji na maswali kufanya matendo katika namba kamili,13,Michezo ya ujifunzaji na maswali na majadiliano,Kuwaongoza Wanafunzi,Matendo ya hisabati katika namba kamili yamefanyika kwa usahihi,Sinia la namba|Abakasi|Chati ya namba|Programu za mtandaoni zinazohusiana na matendo ya hisabati katika namba kamili,"TET(2023), HISABATI, KITABU CHA MWANAFUNZI, DARASA LA SITA, TET, DAR ES SALAAM","Matendo ya hisabati (kujumlisha, kutoa, kuzidisha na kugawanya) yanaweza kufanyika kwenye namba kamili, ikijumuisha namba chanya na hasi. Kuzingatia jozi ya sifuri (namba na kinyume chake, mfano 5 na -5) husaidia kuelewa jinsi namba hasi zinavyofuta namba chanya zinapojumlishwa.","Kanuni za kujumlisha na kutoa: namba mbili chanya hujumlishwa kawaida; namba mbili hasi hujumlishwa kama namba chanya kisha jibu huwekwa alama hasi; namba chanya na hasi hutolewana, jibu huchukua alama ya namba yenye thamani kubwa zaidi. Kanuni za kuzidisha na kugawanya: chanya × chanya = chanya; hasi × hasi = chanya; chanya × hasi (au hasi × chanya) = hasi.","Mfano: (-5) + 3 = -2 (jozi ya sifuri: -3+3=0, kisha -2 inabaki). (-4) + (-6) = -10. (-8) - (-3) = -8+3 = -5. (-2) × (-3) = 6. (-12) ÷ 4 = -3.","Matendo ya namba kamili hutumika kukokotoa mabadiliko ya joto (kupanda na kushuka), mizani ya akaunti ya benki (amana na malipo), na mabadiliko ya kina cha maji katika bwawa (kuongezeka na kupungua).","Kokotoa: (-7) + 5::(-7) + 5 = -2 (namba hasi kubwa zaidi kiukubwa, hivyo jibu ni hasi)||Kokotoa: (-6) × (-4)::(-6) × (-4) = 24 (hasi mara hasi hutoa chanya)||Kokotoa: (-15) ÷ (-3)::(-15) ÷ (-3) = 5 (hasi kugawanywa na hasi hutoa chanya)||Kokotoa: 8 - (-5)::8 - (-5) = 8 + 5 = 13 (kutoa namba hasi ni sawa na kujumlisha kinyume chake)",
2023-JSS001-DRS VI,Kumudu matumizi ya awali ya hisabati (vi),Kuonesha uelewa wa awali wa takwimu na matumizi yake (vi),Kuelezea dhana ya takwimu,Kufanya majadiliano ya vikundi na mazoezi ya vitendo kuelezea dhana ya takwimu,21,Majadiliano ya vikundi na mazoezi ya vitendo,Kuwaongoza Wanafunzi,Dhana ya takwimu imeelezwa kwa usahihi,Makundi ya vitu mchanganyiko|Ramani zinazoonesha takwimu halisi|Michoro ya kijiografia inayoeleza takwimu ya maeneo tofauti|Picha na video za kuonesha data na takwimu,"TET(2023), HISABATI, KITABU CHA MWANAFUNZI, DARASA LA SITA, TET, DAR ES SALAAM","Takwimu ni taarifa au data zilizokusanywa kuhusu jambo fulani kwa lengo la kujifunza, kulinganisha au kufanya maamuzi. Takwimu zinaweza kuwa namba, maneno au picha zinazoeleza hali halisi ya jambo, mfano idadi ya wanafunzi darasani au aina za matunda yanayopendwa.","Hatua za msingi za kushughulikia takwimu ni: kukusanya data (kwa kuuliza maswali au kupima), kuorodhesha/kupanga data kwa mpangilio (jedwali la marudio - tally), kuwasilisha data (kwa jedwali, chati au grafu), na kuchambua data kupata hitimisho. Grafu za mihimili (bar graph) na grafu za duara (pie chart) ni njia maarufu za kuonesha takwimu kwa picha.","Mfano: kukusanya data ya matunda wanayopenda wanafunzi 20 darasani - embe 8, ndizi 5, chungwa 4, papai 3 - kisha kuchora grafu ya mihimili yenye mihimili minne yenye urefu tofauti kuwakilisha idadi hizo.","Takwimu hutumika serikalini kupanga bajeti ya elimu kwa kutumia idadi ya wanafunzi, hospitalini kufuatilia idadi ya wagonjwa wa magonjwa fulani, na wafanyabiashara kupanga bidhaa za kuuza kutokana na mahitaji ya wateja.","Ni hatua zipi za msingi nne za kushughulikia takwimu?::Kukusanya data, kuorodhesha/kupanga data, kuwasilisha data (jedwali au grafu), na kuchambua data kupata hitimisho||Wanafunzi 10 waliulizwa rangi wanayopenda: bluu-4, nyekundu-3, kijani-3. Ni rangi gani iliyopendwa zaidi?::Bluu ilipendwa zaidi kwa kuwa ilipata kura 4, idadi kubwa kuliko nyekundu na kijani zilizopata kura 3 kila moja||Kwa nini ni muhimu kuorodhesha data kabla ya kuiwasilisha kwa grafu?::Kuorodhesha data husaidia kuhesabu marudio ya kila kipengele kwa usahihi kabla ya kukiwakilisha kwenye grafu, hivyo kupunguza makosa",
2023-JSS001-DRS VI,Kumudu matumizi ya awali ya hisabati (vi),Kuonesha uelewa wa awali wa takwimu na matumizi yake (vi),"Kutafuta wastani, namba ya katikati (Mediani) na namba iliyojitokeza mara nyingi (modi) kwenye data zisizo katika makundi","Kutumia mfano wa vitu halisi na programu za mtandaoni kutafuta wastani, mediani na modi kwenye data zisizo katika makundi",21,Mfano wa vitu halisi na programu za mtandaoni,Kuwaongoza Wanafunzi,"Wastani, mediani na modi vimetafutwa kwa usahihi kwenye data zisizo katika makundi",Makundi ya vitu mchanganyiko|Programu za mtandaoni zinazohusiana na kutafuta mediani na modi kwenye data,"TET(2023), HISABATI, KITABU CHA MWANAFUNZI, DARASA LA SITA, TET, DAR ES SALAAM","Wastani (mean), mediani (median) na modi (mode) ni vipimo vitatu vya kati vinavyotumika kueleza namba inayowakilisha kundi zima la data. Kila kimoja hutoa taarifa tofauti kuhusu data na hutumika kutegemeana na aina ya taarifa inayohitajika.","Wastani hupatikana kwa kujumlisha namba zote kisha kugawanya kwa idadi ya namba hizo (Wastani = Jumla ya namba ÷ Idadi ya namba). Mediani ni namba iliyoko katikati baada ya kupanga data kwa mpangilio kuanzia ndogo hadi kubwa (ikiwa idadi ni sawa, mediani ni wastani wa namba mbili za katikati). Modi ni namba iliyojitokeza mara nyingi zaidi kuliko namba zingine kwenye kundi la data.","Mfano wa data: 4, 8, 6, 8, 3. Wastani = (4+8+6+8+3)÷5 = 29÷5 = 5.8. Baada ya kupanga: 3,4,6,8,8 - mediani ni 6 (namba ya katikati). Modi ni 8 kwa kuwa imejitokeza mara mbili, zaidi ya namba zingine.","Wastani hutumika kukokotoa wastani wa alama za mtihani darasani, mediani hutumika kubaini mshahara wa katikati katika kundi la wafanyakazi, na modi hutumika na wauzaji kubaini ukubwa wa nguo unaonunuliwa zaidi na wateja.","Tafuta wastani wa namba: 5, 7, 9, 3, 6.::Wastani = (5+7+9+3+6) ÷ 5 = 30 ÷ 5 = 6||Tafuta mediani ya data: 12, 5, 8, 15, 9.::Panga kwa mpangilio: 5,8,9,12,15. Namba ya katikati ni 9, hivyo mediani = 9||Tafuta modi ya data: 2, 4, 4, 6, 4, 8, 2.::Namba 4 imejitokeza mara tatu, zaidi ya namba zingine, hivyo modi = 4||Tafuta mediani ya data yenye idadi sawa: 4, 8, 6, 10.::Panga: 4,6,8,10. Namba mbili za katikati ni 6 na 8, mediani = (6+8)÷2 = 7",
2023-JSS001-DRS VI,Kumudu matumizi ya awali ya hisabati (vi),Kuonesha uelewa wa awali wa takwimu na matumizi yake (vi),Kubaini matumizi ya takwimu (duara na mihimili) kuwasilisha taarifa,Kutumia mifano halisi na kazimradi kubaini matumizi ya takwimu (duara na mihimili) kuwasilisha taarifa,20,Mifano halisi na kazimradi,Kuwaongoza Wanafunzi,Matumizi ya takwimu (duara na mihimili) katika kuwasilisha taarifa yamebainishwa kwa usahihi,Chati za takwimu halisi kama duara na mihimili|Programu za mtandaoni za kutengeneza chati na grafu|Michoro ya kijiografia inayoonesha takwimu,"TET(2023), HISABATI, KITABU CHA MWANAFUNZI, DARASA LA SITA, TET, DAR ES SALAAM",Chati ya duara (pie chart) na chati ya mihimili (bar chart) ni njia mbili maarufu za kuwasilisha takwimu kwa njia ya picha ili ziweze kueleweka kwa haraka. Kila aina ina matumizi yake kulingana na aina ya data inayowasilishwa.,"Chati ya mihimili hutumia mistari mirefu (mihimili) yenye urefu tofauti kuwakilisha idadi ya vipengele mbalimbali, hufaa kulinganisha makundi tofauti. Chati ya duara hugawanya duara katika sehemu (sekta) zenye ukubwa kulingana na asilimia au uwiano wa kila kipengele katika jumla ya data, hufaa kuonesha jinsi sehemu zinavyochangia katika jumla nzima (asilimia 100).","Mfano: shule ina wanafunzi 100 - Hisabati wanapenda 40, Kiingereza 30, Sayansi 20, Sanaa 10. Kwenye chati ya duara, Hisabati inachukua asilimia 40 ya duara zima, Kiingereza asilimia 30, na kadhalika. Kwenye chati ya mihimili, kila somo linawakilishwa na mhimili wenye urefu unaolingana na idadi ya wanafunzi.","Chati za duara na mihimili hutumika kwenye ripoti za serikali kuonesha mgawanyo wa bajeti ya taifa, kampuni za biashara kuonesha mauzo ya kila mwezi, na vyombo vya habari kuonesha matokeo ya uchaguzi au kura za maoni.","Chati ya duara ina sekta ya asilimia 25 kuwakilisha idadi ya wanafunzi wanaopenda mpira wa miguu. Kama shule ina wanafunzi 200, ni wanafunzi wangapi wanaopenda mpira wa miguu?::Idadi = 25% × 200 = (25÷100) × 200 = wanafunzi 50||Kwa nini chati ya mihimili inafaa zaidi kulinganisha idadi ya wanafunzi wa madarasa matano tofauti kuliko chati ya duara?::Chati ya mihimili huonesha kwa uwazi tofauti za urefu kati ya makundi, hivyo ni rahisi kulinganisha idadi halisi za kila darasa moja kwa moja||Kazimradi: Ukusanya takwimu za michezo wanayopenda wanafunzi 30 darasani mwako na kuwasilisha kwa chati ya mihimili, hatua gani za kwanza utafuata?::Kwanza kuuliza kila mwanafunzi mchezo anaoupenda, kuorodhesha majibu kwa jedwali la marudio, kisha kuchora mihimili yenye urefu unaolingana na idadi ya wanafunzi waliochagua kila mchezo",
